#{"t_start": 1678786995.888086, "env_id": "WGW-v0"}
reward,reward_nc,len,time,a_id,constraint
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
1.0,1.0,7,0.0,1,0
